日文,中文
祁,祁
係,系
傾,倾
刑,刑
兄,兄
啓,启
圭,圭
珪,珪
型,型
契,契
形,形
径,径
恵,惠
慶,庆
慧,慧
憩,憩
掲,揭
携,携
敬,敬
景,景
桂,桂
渓,溪
畦,畦
稽,稽
系,系
経,经
継,继
繋,繋
罫,罫
茎,茎
荊,荆
蛍,萤
計,计
詣,诣
警,警
軽,轻
頚,頚
鶏,鸡
芸,芸
迎,迎
鯨,鲸
劇,剧
戟,戟
撃,击
激,激
隙,隙
桁,桁
傑,杰
欠,欠
決,决
潔,洁
穴,穴
結,结
血,血
訣,诀
月,月
件,件
倹,俭
倦,倦
健,健
兼,兼
券,券
剣,剑
喧,喧
圏,圈
堅,坚
嫌,嫌
建,建
憲,宪
懸,悬
拳,拳
捲,捲
検,检
権,权
牽,牵
犬,犬
献,献
研,研
硯,砚
絹,绢
県,县
肩,肩
見,见
謙,谦
賢,贤
軒,轩
遣,遣
鍵,键
険,险
顕,显
験,验
鹸,鹸
元,元
原,原
厳,严
幻,幻
弦,弦
減,减
源,源
玄,玄
現,现
絃,絃
舷,舷
言,言
諺,谚
限,限
乎,乎
個,个
古,古
呼,呼
固,固
姑,姑
孤,孤
己,己
庫,库
弧,弧
戸,户
故,故
枯,枯
湖,湖
狐,狐
糊,糊
袴,袴
股,股
胡,胡
菰,菰
虎,虎
誇,夸
跨,跨
鈷,钴
雇,雇
顧,顾
鼓,鼓
五,五
互,互
伍,伍
午,午
呉,吴
吾,吾
娯,娱
後,后
御,御
悟,悟
梧,梧
檎,檎
瑚,瑚
碁,棋
語,语
誤,误
護,护
醐,醐
乞,乞
鯉,鲤
交,交
佼,佼
侯,侯
候,候
倖,倖
光,光
公,公
功,功
効,效
勾,勾
厚,厚
口,口
向,向
后,后
喉,喉
坑,坑
垢,垢
好,好
孔,孔
孝,孝
宏,宏
工,工
巧,巧
巷,巷
幸,幸
広,广
庚,庚
康,康
弘,弘
恒,恒
慌,慌
抗,抗
拘,拘
控,控
攻,攻
昂,昂
晃,晃
更,更
杭,杭
校,校
梗,梗
構,构
江,江
洪,洪
浩,浩
港,港
溝,沟
甲,甲
皇,皇
硬,硬
稿,稿
糠,糠
紅,红
紘,纮
絞,绞
綱,纲
耕,耕
考,考
肯,肯
肱,肱
腔,腔
膏,膏
航,航
荒,荒
行,行
衡,衡
講,讲
貢,贡
購,购
郊,郊
酵,酵
鉱,矿
砿,砿
鋼,钢
閤,合
降,降
項,项
香,香
高,高
鴻,鸿
剛,刚
劫,劫
号,号
合,合
壕,壕
拷,拷
濠,濠
豪,豪
轟,轰
麹,麹
克,克
刻,刻
告,告
国,国
穀,谷
酷,酷
鵠,鹄
黒,黑
獄,狱
漉,漉
腰,腰
甑,甑
忽,忽
惚,惚
骨,骨
狛,狛
込,迂
此,此
頃,顷
今,今
困,困
坤,坤
墾,垦
婚,婚
恨,恨
懇,恳
昏,昏
昆,昆
根,根
梱,梱
混,混
痕,痕
紺,绀
艮,艮
魂,魂
些,些
佐,佐
叉,叉
唆,唆
嵯,嵯
左,左
差,差
査,查
沙,沙
瑳,瑳
砂,砂
詐,诈
鎖,锁
裟,裟
坐,坐
座,座
挫,挫
債,债
催,催
再,再
最,最
哉,哉
塞,塞
妻,妻
宰,宰
彩,彩
才,才
採,采
栽,栽
歳,岁
済,济
災,灾
采,采
犀,犀
砕,碎
砦,砦
祭,祭
斎,斋
細,细
菜,菜
裁,裁
載,载
際,际
剤,剂
在,在
材,材
罪,罪
財,财
冴,冴
坂,坂
阪,坂
堺,堺
榊,榊
肴,肴
咲,笑
崎,崎
埼,埼
碕,碕
鷺,鹭
作,作
削,削
咋,咋
搾,榨
昨,昨
朔,朔
柵,栅
窄,窄
策,策
索,索
錯,错
桜,樱
鮭,鲑
笹,笹
匙,匙
冊,册
刷,刷
察,察
拶,拶
撮,撮
擦,擦
札,札
殺,杀
薩,萨
雑,杂
皐,皐
鯖,鲭
捌,捌
錆,锖
鮫,鲛
皿,皿
晒,晒
三,三
傘,伞
参,参
山,山
惨,惨
撒,撒
散,散
桟,栈
燦,灿
珊,珊
産,产
算,算
纂,纂
蚕,蚕
讃,讃
賛,赞
酸,酸
餐,餐
斬,斩
暫,暂
残,残
仕,仕
仔,仔
伺,伺
使,使
刺,刺
司,司
史,史
嗣,嗣
四,四
士,士
始,始
姉,姊
姿,姿
子,子
屍,尸
市,市
師,师
志,志
思,思
指,指
支,支
孜,孜
斯,斯
施,施
旨,旨
枝,枝
止,止
死,死
氏,氏
獅,狮
祉,祉
私,私
糸,纟
紙,纸
紫,紫
肢,肢
脂,脂
至,至
視,视
詞,词
詩,诗
試,试
誌,志
諮,咨
資,资
賜,赐
雌,雌
飼,饲
歯,齿
事,事
似,似
侍,侍
児,儿
字,字
寺,寺
慈,慈
持,持
時,时
次,次
滋,滋
治,治
爾,尔
璽,玺
痔,痔
磁,磁
示,示
而,而
耳,耳
自,自
蒔,莳
辞,辞
汐,汐
鹿,鹿
式,式
