日文,中文
磊,磊
磬,磬
磧,碛
磚,砖
磽,硗
磴,磴
礇,礇
礒,礒
礑,礑
礙,碍
礬,矾
礫,砾
祀,祀
祠,祠
祗,祗
祟,祟
祚,祚
祕,秘
祓,祓
祺,祺
祿,禄
禊,禊
禝,禝
禧,禧
齋,斋
禪,禅
禮,礼
禳,禳
禹,禹
禺,禺
秉,秉
秕,秕
秧,秧
秬,秬
秡,秡
秣,秣
稈,秆
稍,稍
稘,稘
稙,稙
稠,稠
稟,禀
禀,禀
稱,称
稻,稻
稾,稾
稷,稷
穃,穃
穗,穗
穉,穉
穡,穑
穢,秽
穩,稳
龝,龝
穰,穰
穹,穹
穽,穽
窈,窈
窗,窗
窕,窕
窘,窘
窖,窖
窩,窝
竈,灶
窰,窰
窶,窭
竅,窍
竄,窜
窿,窿
邃,邃
竇,窦
竊,窃
竍,竍
竏,竏
竕,竕
竓,竓
站,站
竚,竚
竝,并
竡,竡
竢,竢
竦,竦
竭,竭
竰,竰
笂,笂
笏,笏
笊,笊
笆,笆
笳,笳
笘,笘
笙,笙
笞,笞
笵,笵
笨,笨
笶,笶
筐,筐
筺,筺
笄,笄
筍,笋
笋,笋
筌,筌
筅,筅
筵,筵
筥,筥
筴,䇲
筧,笕
筰,筰
筱,筱
筬,筬
筮,筮
箝,箝
箘,箘
箟,箟
箍,箍
箜,箜
箚,箚
箋,笺
箒,箒
箏,筝
筝,筝
箙,箙
篋,箧
篁,篁
篌,篌
篏,篏
箴,箴
篆,篆
篝,篝
篩,筛
簑,簑
簔,簔
篦,篦
篥,篥
籠,笼
簀,箦
簇,簇
簓,簓
篳,筚
篷,篷
簗,簗
簍,篓
篶,篶
簣,篑
簧,簧
簪,簪
簟,簟
簷,簷
簫,箫
簽,签
籌,筹
籃,篮
籔,籔
籏,籏
籀,籀
籐,籐
籘,籘
籟,籁
籤,籤
籖,签
籥,籥
籬,篱
籵,籵
粃,粃
粐,粐
粤,粤
粭,粭
粢,粢
粫,粫
粡,粡
粨,粨
粳,粳
粲,粲
粱,粱
粮,粮
粹,粹
粽,粽
糀,糀
糅,糅
糂,糂
糘,糘
糒,糒
糜,糜
糢,糢
鬻,鬻
糯,糯
糲,粝
糴,籴
糶,粜
糺,糺
紆,纡
紂,纣
紜,纭
紕,纰
紊,紊
絅,䌹
絋,絋
紮,紮
紲,绁
紿,绐
紵,纻
絆,绊
絳,绛
絖,絖
絎,绗
絲,丝
絨,绒
絮,絮
絏,絏
絣,絣
經,经
綉,绣
絛,绦
綏,绥
絽,絽
綛,綛
綺,绮
綮,綮
綣,绻
綵,䌽
緇,缁
綽,绰
綫,线
總,总
綢,绸
綯,绹
緜,緜
綸,纶
綟,綟
綰,绾
緘,缄
緝,缉
緤,緤
緞,缎
緻,致
緲,缈
緡,缗
縅,縅
縊,缢
縣,县
縡,縡
縒,縒
縱,纵
縟,缛
縉,缙
縋,缒
縢,縢
繆,缪
繦,繦
縻,縻
縵,缦
縹,缥
繃,绷
縷,缕
縲,缧
縺,縺
繧,繧
繝,繝
繖,繖
繞,绕
繙,繙
繚,缭
繹,绎
繪,绘
繩,绳
繼,继
繻,繻
纃,纃
緕,緕
繽,缤
辮,辫
繿,䍀
纈,缬
纉,纉
續,续
纒,纒
纐,纐
纓,缨
纔,才
纖,纤
纎,纎
纛,纛
纜,缆
缸,缸
缺,缺
罅,罅
罌,罂
罍,罍
罎,罎
罐,罐
网,网
罕,罕
罔,罔
罘,罘
罟,罟
罠,罠
罨,罨
罩,罩
罧,罧
罸,罸
羂,羂
羆,罴
羃,羃
羈,羁
羇,羇
羌,羌
羔,羔
羞,羞
羝,羝
羚,羚
羣,羣
羯,羯
羲,羲
羹,羹
羮,羮
羶,羶
羸,羸
譱,譱
翅,翅
翆,翆
翊,翊
翕,翕
翔,翔
翡,翡
翦,翦
翩,翩
翳,翳
翹,翘
飜,翻
耆,耆
耄,耄
耋,耋
耒,耒
耘,耘
耙,耙
耜,耜
耡,耡
耨,耨
耿,耿
耻,耻
聊,聊
聆,聆
聒,聒
聘,聘
聚,聚
聟,聟
聢,聢
聨,聨
聳,耸
聲,声
聰,聪
聶,聂
聹,聍
聽,听
聿,聿
肄,肄
肆,肆
肅,肃
肛,肛
肓,肓
肚,肚
肭,肭
冐,冐
肬,肬
胛,胛
胥,胥
胙,胙
胝,胝
胄,胄
胚,胚
胖,胖
脉,脉
胯,胯
胱,胱
脛,胫
脩,脩
脣,脣
脯,脯
腋,腋
隋,隋
腆,腆
脾,脾
腓,腓
腑,腑
胼,胼
腱,腱
腮,腮
腥,腥
腦,脑
腴,腴
膃,腽
膈,膈
膊,膊
膀,膀
膂,膂
膠,胶
膕,膕
膤,膤
膣,膣
腟,腟
膓,膓
膩,腻
膰,膰
膵,膵
膾,脍
膸,膸
膽,胆
臀,臀
臂,臂
膺,膺
臉,脸
臍,脐
臑,臑
臙,臙
臘,腊
臈,臈
臚,胪
臟,脏
臠,脔
臧,臧
臺,台
臻,臻
臾,臾
舁,舁
舂,舂
舅,舅
與,与
舊,旧
舍,舍
舐,舐
舖,舖
舩,舩
舫,舫
舸,舸
舳,舳
艀,艀
艙,舱
艘,艘
艝,艝
艚,艚
艟,艟
艤,舣
艢,艢
艨,艨
艪,艪
艫,舻
舮,舮
艱,艰
艷,艳
艸,艸
艾,艾
芍,芍
芒,芒
芫,芫
芟,芟
芻,刍
芬,芬
苡,苡
苣,苣
苟,苟
苒,苒
苴,苴
苳,苳
苺,苺
莓,莓
范,范
苻,苻
苹,苹
苞,苞
茆,茆
苜,苜
茉,茉
苙,苙
茵,茵
茴,茴
茖,茖
茲,兹
茱,茱
荀,荀
茹,茹
荐,荐
荅,荅
茯,茯
茫,茫
茗,茗
茘,茘
莅,莅
莚,莚
莪,莪
莟,莟
莢,荚
莖,茎
茣,茣
莎,莎
莇,莇
莊,庄
荼,荼
莵,莵
荳,荳
荵,荵
莠,莠
莉,莉
莨,莨
菴,菴
萓,萓
菫,菫
菎,菎
菽,菽
萃,萃
菘,菘
萋,萋
菁,菁
菷,菷
萇,苌
菠,菠
菲,菲
萍,萍
萢,萢
萠,萠
莽,莽
萸,萸
蔆,蔆
菻,菻
葭,葭
萪,萪
萼,萼
蕚,蕚
蒄,蒄
葷,荤
葫,葫
蒭,蒭
葮,葮
蒂,蒂
葩,葩
葆,葆
萬,万
葯,药
葹,葹
萵,莴
蓊,蓊
葢,葢
蒹,蒹
蒿,蒿
蒟,蒟
蓙,蓙
蓍,蓍
蒻,蒻
蓚,蓚
蓐,蓐
蓁,蓁
蓆,蓆
蓖,蓖
蒡,蒡
蔡,蔡
蓿,蓿
蓴,莼
蔗,蔗
蔘,蔘
蔬,蔬
蔟,蔟
蔕,蔕
蔔,卜
蓼,蓼
蕀,蕀
蕣,蕣
蕘,荛
蕈,蕈
蕁,荨
蘂,蘂
蕋,蕋
蕕,莸
薀,蕰
薤,薤
薈,荟
薑,薑
薊,蓟
薨,薨
蕭,萧
薔,蔷
薛,薛
藪,薮
薇,薇
薜,薜
蕷,蓣
蕾,蕾
薐,薐
藉,借
薺,荠
藏,藏
薹,薹
藐,藐
藕,藕
藝,艺
藥,药
藜,藜
藹,蔼
蘊,蕴
蘓,蘓
蘋,苹
藾,藾
藺,蔺
蘆,芦
蘢,茏
蘚,藓
蘰,蘰
蘿,萝
虍,虍
乕,乕
虔,虔
號,号
虧,亏
虱,虱
蚓,蚓
蚣,蚣
蚩,蚩
蚪,蚪
蚋,蚋
蚌,蚌
蚶,蚶
蚯,蚯
蛄,蛄
蛆,蛆
蚰,蚰
蛉,蛉
蠣,蛎
蚫,蚫
蛔,蛔
蛞,蛞
蛩,蛩
蛬,蛬
蛟,蛟
蛛,蛛
蛯,蛯
蜒,蜒
蜆,蚬
蜈,蜈
蜀,蜀
蜃,蜃
蛻,蜕
蜑,蜑
蜉,蜉
蜍,蜍
蛹,蛹
蜊,蜊
蜴,蜴
蜿,蜿
蜷,蜷
蜻,蜻
蜥,蜥
蜩,蜩
蜚,蜚
蝠,蝠
蝟,猬
蝸,蜗
蝌,蝌
蝎,蝎
蝴,蝴
蝗,蝗
蝨,蝨
蝮,蝮
蝙,蝙
蝓,蝓
蝣,蝣
蝪,蝪
蠅,蝇
螢,萤
螟,螟
螂,螂
螯,螯
蟋,蟋
螽,螽
蟀,蟀
蟐,蟐
雖,虽
螫,螫
蟄,蛰
螳,螳
蟇,蟇
蟆,蟆
螻,蝼
蟯,蛲
蟲,虫
蟠,蟠
蠏,蠏
蠍,蠍
蟾,蟾
蟶,蛏
蟷,蟷
蠎,蠎
蟒,蟒
蠑,蝾
蠖,蠖
蠕,蠕
蠢,蠢
蠡,蠡
蠱,蛊
蠶,蚕
蠹,蠹
蠧,蠧
蠻,蛮
衄,衄
衂,衂
衒,衒
衙,衙
衞,卫
衢,衢
衫,衫
袁,袁
衾,衾
袞,衮
衵,衵
衽,衽
袵,袵
衲,衲
袂,袂
袗,袗
袒,袒
袮,袮
袙,袙
袢,袢
袍,袍
袤,袤
袰,袰
袿,袿
袱,袱
裃,裃
裄,裄
裔,裔
裘,裘
裙,裙
裝,装
裹,裹
褂,褂
裼,裼
裴,裴
裨,裨
裲,裲
褄,褄
褌,裈
褊,褊
褓,褓
襃,褒
褞,褞
褥,褥
褪,褪
褫,褫
襁,襁
襄,襄
褻,亵
褶,褶
褸,褛
襌,襌
褝,褝
襠,裆
襞,襞
襦,襦
襤,褴
襭,襭
襪,袜
襯,衬
襴,襴
襷,襷
襾,襾
覃,覃
覈,覈
覊,覊
覓,觅
覘,觇
覡,觋
覩,覩
覦,觎
覬,觊
覯,觏
覲,觐
覺,觉
覽,览
覿,觌
觀,观
觚,觚
觜,觜
觝,觝
觧,觧
觴,觞
觸,触
訃,讣
訖,讫
訐,讦
訌,讧
訛,讹
訝,讶
訥,讷
訶,诃
詁,诂
詛,诅
詒,诒
詆,诋
詈,詈
詼,诙
詭,诡
詬,诟
詢,询
誅,诛
誂,誂
誄,诔
誨,诲
誡,诫
誑,诳
誥,诰
誦,诵
誚,诮
誣,诬
諄,谆
諍,诤
諂,谄
諚,諚
諫,谏
諳,谙
諧,谐
諤,谔
諱,讳
謔,谑
諠,諠
諢,诨
諷,讽
諞,谝
諛,谀
謌,謌
謇,謇
謚,谥
諡,諡
謖,谡
謐,谧
謗,谤
謠,谣
謳,讴
鞫,鞫
謦,謦
謫,谪
謾,谩
謨,谟
譁,譁
譌,譌
譏,讥
譎,谲
證,证
譖,谮
譛,譛
譚,谭
譫,谵
譟,譟
譬,譬
譯,译
譴,谴
譽,誉
讀,读
讌,讌
讎,雠
讒,谗
讓,让
讖,谶
讙,讙
讚,讚
谺,谺
豁,豁
谿,谿
豈,岂
豌,豌
豎,竖
豐,丰
豕,豕
豢,豢
豬,猪
豸,豸
豺,豺
貂,貂
貉,貉
貅,貅
貊,貊
貍,貍
貎,貎
貔,貔
豼,豼
貘,貘
戝,戝
貭,貭
貪,贪
貽,贻
貲,赀
貳,贰
貮,貮
貶,贬
賈,贾
賁,贲
賤,贱
賣,卖
賚,赉
賽,赛
賺,赚
賻,赙
贄,贽
贅,赘
贊,赞
贇,赟
贏,赢
贍,赡
贐,赆
齎,赍
贓,赃
賍,賍
贔,赑
贖,赎
赧,赧
赭,赭
赱,赱
赳,赳
趁,趁
趙,赵
跂,跂
趾,趾
趺,趺
跏,跏
跚,跚
跖,跖
跌,跌
跛,跛
跋,跋
跪,跪
跫,跫
跟,跟
跣,跣
跼,跼
踈,踈
踉,踉
跿,跿
踝,踝
踞,踞
踐,践
踟,踟
蹂,蹂
踵,踵
踰,踰
踴,踊
蹊,蹊
蹇,蹇
蹉,蹉
蹌,跄
蹐,蹐
蹈,蹈
蹙,蹙
蹤,踪
蹠,蹠
踪,踪
蹣,蹒
蹕,跸
蹶,蹶
蹲,蹲
蹼,蹼
躁,躁
躇,躇
躅,躅
躄,躄
躋,跻
躊,踌
躓,踬
躑,踯
躔,躔
躙,躙
躪,躏
躡,蹑
躬,躬
躰,躰
軆,軆
躱,躱
躾,躾
軅,軅
軈,軈
軋,轧
軛,轭
軣,軣
軼,轶
軻,轲
軫,轸
軾,轼
輊,轾
輅,辂
輕,轻
輒,辄
輙,輙
輓,挽
輜,辎
輟,辍
輛,辆
輌,輌
輦,辇
輳,辏
輻,辐
輹,輹
轅,辕
轂,毂
輾,辗
轌,轌
轉,转
轆,辘
轎,轿
轗,轗
轜,轜
轢,轹
轣,轣
轤,轳
辜,辜
辟,辟
辣,辣
辭,辞
辯,辩
辷,辷
迚,迚
迥,迥
迢,迢
迪,迪
迯,迯
邇,迩
迴,回
逅,逅
迹,迹
迺,迺
逑,逑
逕,迳
逡,逡
逍,逍
逞,逞
逖,逖
逋,逋
逧,逧
逶,逶
逵,逵
逹,逹
迸,迸
遏,遏
遐,遐
遑,遑
遒,遒
逎,逎
遉,遉
逾,逾
遖,遖
遘,遘
遞,递
遨,遨
遯,遯
遶,遶
隨,随
遲,迟
邂,邂
遽,遽
邁,迈
邀,邀
邊,边
邉,邉
邏,逻
邨,邨
邯,邯
邱,邱
邵,邵
郢,郢
郤,郤
扈,扈
郛,郛
鄂,鄂
鄒,邹
鄙,鄙
鄲,郸
鄰,邻
酊,酊
酖,酖
酘,酘
酣,酣
酥,酥
酩,酩
酳,酳
酲,酲
醋,醋
醉,醉
醂,醂
醢,醢
醫,医
醯,醯
醪,醪
醵,醵
醴,醴
醺,醺
釀,酿
釁,衅
釉,釉
釋,释
釐,厘
釖,釖
釟,釟
釡,釡
釛,釛
釼,釼
釵,钗
釶,釶
鈞,钧
釿,釿
鈔,钞
鈬,鈬
鈕,钮
鈑,钣
鉞,钺
鉗,钳
鉅,钜
鉉,铉
鉤,钩
鉈,铊
銕,銕
鈿,钿
鉋,铇
鉐,鉐
銜,衔
銖,铢
銓,铨
銛,铦
鉚,铆
鋏,铗
銹,锈
銷,销
鋩,铓
錏,铔
鋺,鋺
鍄,鍄
錮,锢
錙,锱
錢,钱
錚,铮
錣,錣
錺,錺
錵,錵
錻,錻
鍜,鍜
鍠,锽
鍼,鍼
鍮,鍮
鍖,鍖
鎰,镒
鎬,镐
鎭,镇
鎔,镕
鎹,鎹
鏖,鏖
鏗,铿
鏨,錾
鏥,鏥
鏘,锵
鏃,镞
鏝,镘
鏐,镠
鏈,链
鏤,镂
鐚,鐚
鐔,镡
鐓,镦
鐃,铙
鐇,鐇
鐐,镣
鐶,镮
鐫,镌
鐵,铁
鐡,鐡
鐺,铛
鑁,鑁
鑒,鉴
鑄,铸
鑛,矿
鑠,铄
鑢,鑢
鑞,镴
鑪,鑪
鈩,鈩
鑰,钥
鑵,鑵
鑷,镊
鑽,钻
鑚,鑚
鑼,锣
鑾,銮
钁,镢
鑿,凿
閂,闩
閇,閇
閊,閊
閔,闵
閖,閖
閘,闸
閙,閙
閠,閠
閨,闺
閧,閧
閭,闾
閼,阏
閻,阎
閹,阉
閾,阈
闊,阔
濶,濶
闃,阒
闍,阇
闌,阑
闕,阙
闔,阖
闖,闯
關,关
闡,阐
闥,闼
闢,闢
阡,阡
阨,阨
阮,阮
阯,阯
陂,陂
陌,陌
陏,陏
陋,陋
陷,陷
陜,陜
陞,陞
陝,陕
陟,陟
陦,陦
陲,陲
陬,陬
隍,隍
隘,隘
隕,陨
隗,隗
險,险
隧,隧
隱,隐
隲,隲
隰,隰
隴,陇
隶,隶
隸,隶
隹,隹
雎,雎
雋,隽
雉,雉
雍,雍
襍,襍
雜,杂
霍,霍
雕,雕
雹,雹
霄,霄
霆,霆
霈,霈
霓,霓
霎,霎
霑,霑
霏,霏
霖,霖
霙,霙
霤,霤
霪,霪
霰,霰
霹,霹
霽,霁
霾,霾
靄,霭
靆,靆
靈,灵
靂,雳
靉,靉
靜,静
靠,靠
靤,靤
靦,腼
靨,靥
勒,勒
靫,靫
靱,靱
靹,靹
鞅,鞅
靼,靼
鞁,鞁
靺,靺
鞆,鞆
鞋,鞋
鞏,巩
鞐,鞐
鞜,鞜
鞨,鞨
鞦,秋
鞣,鞣
鞳,鞳
鞴,鞴
韃,鞑
韆,千
韈,韈
韋,韦
韜,韬
韭,韭
齏,齑
韲,韲
竟,竟
韶,韶
韵,韵
頏,颃
頌,颂
頸,颈
頤,颐
頡,颉
頷,颔
頽,颓
顆,颗
顏,颜
顋,顋
顫,颤
顯,显
顰,颦
顱,颅
顴,颧
顳,颞
颪,颪
颯,飒
颱,台
颶,飓
飄,飘
飃,飃
飆,飙
飩,饨
飫,饫
餃,饺
餉,饷
餒,馁
餔,餔
餘,余
餡,馅
餝,餝
餞,饯
餤,餤
餠,饼
餬,餬
餮,餮
餽,餽
餾,馏
饂,饂
饉,馑
饅,馒
饐,饐
饋,馈
饑,饥
饒,饶
饌,馔
饕,饕
馗,馗
馘,馘
馥,馥
馭,驭
馮,冯
馼,馼
駟,驷
駛,驶
駝,驼
駘,骀
駑,驽
駭,骇
駮,駮
駱,骆
駲,駲
駻,駻
駸,骎
騁,骋
騏,骐
騅,骓
駢,骈
騙,骗
騫,骞
騷,骚
驅,驱
驂,骖
驀,蓦
驃,骠
騾,骡
驕,骄
驍,骁
驛,驿
驗,验
驟,骤
驢,驴
驥,骥
驤,骧
驩,驩
驫,骉
驪,骊
骭,骭
骰,骰
骼,骼
髀,髀
髏,髅
髑,髑
髓,髓
體,体
髞,髞
髟,髟
髢,髢
髣,髣
髦,髦
髯,髯
髫,髫
髮,发
髴,髴
髱,髱
髷,髷
髻,髻
鬆,松
鬘,鬘
鬚,须
鬟,鬟
鬢,鬓
鬣,鬣
鬥,斗
鬧,闹
鬨,鬨
鬩,阋
鬪,鬪
鬮,阄
鬯,鬯
鬲,鬲
魄,魄
魃,魃
魏,魏
魍,魍
魎,魉
魑,魑
魘,魇
魴,鲂
鮓,鲊
鮃,鲆
鮑,鲍
鮖,鮖
鮗,鮗
鮟,鮟
鮠,鮠
鮨,鮨
鮴,鮴
鯀,鲧
鯊,鲨
鮹,鮹
鯆,鯆
鯏,鯏
鯑,鯑
鯒,鲬
鯣,鯣
鯢,鲵
鯤,鲲
鯔,鲻
鯡,鲱
鰺,鲹
鯲,鯲
鯱,鯱
鯰,鲶
鰕,鰕
鰔,鰔
鰉,鳇
鰓,鳃
鰌,鰌
鰆,鰆
鰈,鲽
鰒,鳆
鰊,鰊
鰄,鰄
鰮,鳁
鰛,鰛
鰥,鳏
鰤,鰤
鰡,鰡
鰰,鰰
鱇,鱇
鰲,鳌
鱆,鱆
鰾,鳔
鱚,鱚
鱠,鲙
鱧,鳢
鱶,鱶
鱸,鲈
鳧,凫
鳬,凫
鳰,鳰
鴉,鸦
鴈,鴈
鳫,鳫
鴃,鴃
鴆,鸩
鴪,鴪
鴦,鸯
鶯,莺
鴣,鸪
鴟,鸱
鵄,鵄
鴕,鸵
鴒,鸰
鵁,䴔
鴿,鸽
鴾,鴾
鵆,鵆
鵈,鵈
鵝,鹅
鵞,鵞
鵤,鵤
鵑,鹃
鵐,鹀
鵙,鵙
鵲,鹊
鶉,鹑
鶇,鸫
鶫,鶫
鵯,鹎
鵺,鵺
鶚,鹗
鶤,鶤
鶩,鹜
鶲,鹟
鷄,鸡
鷁,鹢
鶻,鹘
鶸,鶸
鶺,鹡
鷆,鷆
鷏,鷏
鷂,鹞
鷙,鸷
鷓,鹧
鷸,鹬
鷦,鹪
鷭,鷭
鷯,鹩
鷽,鸴
鸚,鹦
鸛,鹳
鸞,鸾
鹵,卤
鹹,咸
鹽,盐
麁,麁
麈,麈
麋,麋
麌,麌
麒,麒
麕,麕
麑,麑
麝,麝
麥,麦
麩,麸
麸,麸
麪,麪
麭,麭
靡,靡
黌,黉
黎,黎
黏,黏
黐,黐
黔,黔
黜,黜
點,点
黝,黝
黠,黠
黥,黥
黨,党
黯,黯
黴,霉
黶,黡
黷,黩
黹,黹
黻,黻
黼,黼
黽,黾
鼇,鼇
鼈,鼈
皷,皷
鼕,冬
鼡,鼡
鼬,鼬
鼾,鼾
齊,齐
齒,齿
齔,龀
齣,出
齟,龃
齠,龆
齡,龄
齦,龈
齧,齧
齬,龉
齪,龊
齷,龌
齲,龋
齶,腭
龕,龛
龜,龟
龠,龠
堯,尧
槇,槇
遙,遥
瑤,瑶
凜,凛
熙,熙
